normalized_artists,normalized_title,source_position,video_id,video_url,candidate_rank,candidate_score,candidate_variant,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness
Nils Frahm,Talisman,99,PtJ_BmVLCyQ,https://music.youtube.com/watch?v=PtJ_BmVLCyQ,1,0.8062,title_only,WP7pJ,Talisman,Strunz & Farah,https://getsongbpm.com/song/talisman/WP7pJ,84,4/4,F,major,12d,9,100
Nils Frahm,Talisman,99,PtJ_BmVLCyQ,https://music.youtube.com/watch?v=PtJ_BmVLCyQ,2,0.7600,title_only,lR7Mr,Talisman,Sunkings,https://getsongbpm.com/song/talisman/lR7Mr,132,4/4,B,minor,3m,56,6
Nils Frahm,Talisman,99,PtJ_BmVLCyQ,https://music.youtube.com/watch?v=PtJ_BmVLCyQ,3,0.7537,title_only,yrNg,Talisman,The Guess Who,https://getsongbpm.com/song/talisman/yrNg,160,4/4,E,minor,2m,41,96
"Anthony Hopkins, Danielle de Niese, Bruno Lazzaretti, Libera, The Lyndhurst Orchestra, and Gavin Greenaway",Vide Cor Meum,100,f7ykwOLts3k,https://music.youtube.com/watch?v=f7ykwOLts3k,1,0.8425,title_only,pAKBX,Vide Cor Meum,Katherine Jenkins,https://getsongbpm.com/song/vide-cor-meum/pAKBX,66,4/4,A,major,4d,9,94
"Anthony Hopkins, Danielle de Niese, Bruno Lazzaretti, Libera, The Lyndhurst Orchestra, and Gavin Greenaway",Vide Cor Meum,100,f7ykwOLts3k,https://music.youtube.com/watch?v=f7ykwOLts3k,2,0.7657,title_only,jYyo6v,Vide Cor Meum (Rhys Meirion Vocal),Katherine Jenkins,https://getsongbpm.com/song/vide-cor-meum-rhys-meirion-vocal/jYyo6v,76,4/4,A,major,4d,15,95
"Anthony Hopkins, Danielle de Niese, Bruno Lazzaretti, Libera, The Lyndhurst Orchestra, and Gavin Greenaway",Vide Cor Meum,100,f7ykwOLts3k,https://music.youtube.com/watch?v=f7ykwOLts3k,3,0.7120,title_only,VOB5xv,Vide Cor Meum,Blake,https://getsongbpm.com/song/vide-cor-meum/VOB5xv,82,4/4,G#,major,9d,11,96
Wounded Masquerade,my own blood,104,cnZfTY96THI,https://music.youtube.com/watch?v=cnZfTY96THI,1,0.7686,title_only,mOMXXA,My Own Blood,Until Rain,https://getsongbpm.com/song/my-own-blood/mOMXXA,94,4/4,G#,minor,6m,48,1
Wounded Masquerade,you,113,cpHr2QH52Lo,https://music.youtube.com/watch?v=cpHr2QH52Lo,1,0.7840,title_only,NkQM8,You,Bonnie Raitt,https://getsongbpm.com/song/you/NkQM8,124,4/4,G,minor,11m,59,85
Wounded Masquerade,you,113,cpHr2QH52Lo,https://music.youtube.com/watch?v=cpHr2QH52Lo,2,0.7750,title_only,58mYK,You,Jaci Velasquez,https://getsongbpm.com/song/you/58mYK,115,4/4,A#,major,11d,56,2
Wounded Masquerade,you,113,cpHr2QH52Lo,https://music.youtube.com/watch?v=cpHr2QH52Lo,3,0.7537,title_only,EB8k,You,The Swingin' Neckbreakers,https://getsongbpm.com/song/you/EB8k,133,4/4,F,major,12d,44,10
Wisp,Guide light,114,oIaL2lkWjBs,https://music.youtube.com/watch?v=oIaL2lkWjBs,1,0.7055,title_only,G5xrX0,Guide Light,Luciano,https://getsongbpm.com/song/guide-light/G5xrX0,104,4/4,D#,minor,7m,78,78
Wisp,Guide light,114,oIaL2lkWjBs,https://music.youtube.com/watch?v=oIaL2lkWjBs,2,0.6914,title_only,OYwkoY,Guide Light,Dread Mar-I,https://getsongbpm.com/song/guide-light/OYwkoY,170,4/4,C,minor,10m,65,19
The Lonely,Drowned (feat. Blade And Bath),115,CVi-_fL8jew,https://music.youtube.com/watch?v=CVi-_fL8jew,1,0.7709,simplified_title_only,wMvm8,Drowned,"Halloween, Alaska",https://getsongbpm.com/song/drowned/wMvm8,117,4/4,A#,minor,8m,81,1
The Lonely,Drowned (feat. Blade And Bath),115,CVi-_fL8jew,https://music.youtube.com/watch?v=CVi-_fL8jew,2,0.7508,simplified_title_only,v28B1M,Drowned,Daeonia,https://getsongbpm.com/song/drowned/v28B1M,148,4/4,E,minor,2m,38,11
The Lonely,Drowned (feat. Blade And Bath),115,CVi-_fL8jew,https://music.youtube.com/watch?v=CVi-_fL8jew,3,0.7429,simplified_title_only,v251L,Drowned,Entombed,https://getsongbpm.com/song/drowned/v251L,107,4/4,C#,major,8d,17,1
Midwife,Song for an Unborn Sun,116,EtIfko_vauo,https://music.youtube.com/watch?v=EtIfko_vauo,1,0.6082,title_first2,QWPONY,Song For,Earlimart,https://getsongbpm.com/song/song-for/QWPONY,131,4/4,D,minor,12m,72,29
Midwife,Song for an Unborn Sun,116,EtIfko_vauo,https://music.youtube.com/watch?v=EtIfko_vauo,2,0.5992,title_first2,1Qo3rG,Song For,Joseph Jarman,https://getsongbpm.com/song/song-for/1Qo3rG,83,4/4,C#,minor,5m,18,30
Midwife,Song for an Unborn Sun,116,EtIfko_vauo,https://music.youtube.com/watch?v=EtIfko_vauo,3,0.5707,title_first3,BgzBVX,Song For An Endless Spring,Dep,https://getsongbpm.com/song/song-for-an-endless-spring/BgzBVX,135,4/4,G,major,2d,61,19
My Useless Life,Melancholic Night,117,FgnKKE-YCLE,https://music.youtube.com/watch?v=FgnKKE-YCLE,1,0.7360,title_only,Z8kvQJ,Melancholic Night,Frozen Starfall,https://getsongbpm.com/song/melancholic-night/Z8kvQJ,,,,minor,,,
My Useless Life,Melancholic Night,117,FgnKKE-YCLE,https://music.youtube.com/watch?v=FgnKKE-YCLE,2,0.6661,title_only,E8vAjv,Melancholic Night Of Rising Sorrow,Beliar,https://getsongbpm.com/song/melancholic-night-of-rising-sorrow/E8vAjv,,,,minor,,,
My Useless Life,Melancholic Night,117,FgnKKE-YCLE,https://music.youtube.com/watch?v=FgnKKE-YCLE,3,0.6592,title_only,z60vx7,Melancholic Night (Instrumental Version),Frozen Starfall,https://getsongbpm.com/song/melancholic-night-instrumental-version/z60vx7,,,,minor,,,
Finnegan Tui,Denna,128,8ZNucRs1hf8,https://music.youtube.com/watch?v=8ZNucRs1hf8,1,0.6982,title_only,9DlwD4,Denna Dena Na,Bathiya & Santhush,https://getsongbpm.com/song/denna-dena-na/9DlwD4,130,4/4,A#,minor,8m,82,4
Finnegan Tui,Denna,128,8ZNucRs1hf8,https://music.youtube.com/watch?v=8ZNucRs1hf8,2,0.6740,title_only,WQmQJW,Denna Jord är Vår,Lena Granhagen,https://getsongbpm.com/song/denna-jord-aer-vaar/WQmQJW,130,4/4,A,major,4d,61,59
Finnegan Tui,Denna,128,8ZNucRs1hf8,https://music.youtube.com/watch?v=8ZNucRs1hf8,3,0.6712,title_only,lv1Mr,Denna Jävla Teknik,Krigshot,https://getsongbpm.com/song/denna-jaevla-teknik/lv1Mr,114,4/4,D,major,3d,24,1
Yves Montand,Sous Le Ciel De Paris,135,XZ5uNaChjfM,https://music.youtube.com/watch?v=XZ5uNaChjfM,1,0.7785,title_only,3Z7X4,Sous Le Ciel De Paris,Michel Legrand,https://getsongbpm.com/song/sous-le-ciel-de-paris/3Z7X4,110,4/4,D,major,3d,49,91
Yves Montand,Sous Le Ciel De Paris,135,XZ5uNaChjfM,https://music.youtube.com/watch?v=XZ5uNaChjfM,2,0.7785,title_only,n5Og2P,Sous Le Ciel De Paris,Georges Chelon,https://getsongbpm.com/song/sous-le-ciel-de-paris/n5Og2P,93,1/4,E,minor,2m,61,28
Yves Montand,Sous Le Ciel De Paris,135,XZ5uNaChjfM,https://music.youtube.com/watch?v=XZ5uNaChjfM,3,0.7429,title_only,0n72G,Sous Le Ciel De Paris,Mireille Mathieu,https://getsongbpm.com/song/sous-le-ciel-de-paris/0n72G,,,,minor,,,
John Murphy,Adagio in D Minor,139,-K9PM3_lAgQ,https://music.youtube.com/watch?v=-K9PM3_lAgQ,1,0.7462,title_first2,Rgp7Yz,Adagio In A Major,Janet Murray,https://getsongbpm.com/song/adagio-in-a-major/Rgp7Yz,,,,minor,,,
John Murphy,Adagio in D Minor,139,-K9PM3_lAgQ,https://music.youtube.com/watch?v=-K9PM3_lAgQ,2,0.7082,title_first2,3lZBEr,Adagio In B Minor,Wolfgang Amadeus Mozart,https://getsongbpm.com/song/adagio-in-b-minor/3lZBEr,173,4/4,B,minor,3m,36,100
John Murphy,Adagio in D Minor,139,-K9PM3_lAgQ,https://music.youtube.com/watch?v=-K9PM3_lAgQ,3,0.6908,title_first3,O7xpvL,Adagio In Do Minore,Fausto Papetti,https://getsongbpm.com/song/adagio-in-do-minore/O7xpvL,119,4/4,G,major,2d,18,1
Swordlender,Ancient Mountain,145,98nWAuL87rk,https://music.youtube.com/watch?v=98nWAuL87rk,1,0.6463,title_only,yP0Aq6,Ancient Mountains (1989),John Williamson,https://getsongbpm.com/song/ancient-mountains-1989/yP0Aq6,118,4/4,D#,major,10d,70,40
Swordlender,Ancient Mountain,145,98nWAuL87rk,https://music.youtube.com/watch?v=98nWAuL87rk,2,0.6463,title_only,BjrVX,Ancient Mountains (With Gondwanaland),John Williamson,https://getsongbpm.com/song/ancient-mountains-with-gondwanaland/BjrVX,118,4/4,D#,major,10d,70,40
Swordlender,Ancient Mountain,145,98nWAuL87rk,https://music.youtube.com/watch?v=98nWAuL87rk,3,0.6400,title_only,OyPKXL,Ancient Mountain,Azuth,https://getsongbpm.com/song/ancient-mountain/OyPKXL,,,,minor,,,
Swordlender,Caverns of the Old Gods,146,vJ_rSbiKGTI,https://music.youtube.com/watch?v=vJ_rSbiKGTI,1,0.6410,title_first2,28ABxj,Caverns Of Doom,Achondar,https://getsongbpm.com/song/caverns-of-doom/28ABxj,,,,minor,,,
