normalized_artists,normalized_title,source_position,video_id,video_url,raw_candidate_count,best_score
Ghost,Square Hammer,920,5IaLIcuFJeE,https://music.youtube.com/watch?v=5IaLIcuFJeE,0,0.0000
Ghost,Darkness At The Heart Of My Love,922,3AD-KR-z1x8,https://music.youtube.com/watch?v=3AD-KR-z1x8,13,0.4982
Ghost,Respite On The Spitalfields,930,OY8kAOv_Z6U,https://music.youtube.com/watch?v=OY8kAOv_Z6U,0,0.0000
Ghost,Kiss The Go-Goat,931,i9t1V5GPG8Q,https://music.youtube.com/watch?v=i9t1V5GPG8Q,0,0.0000
Cuckold Burger,Машина говновоз,948,iyFG6uA_DLI,https://music.youtube.com/watch?v=iyFG6uA_DLI,0,0.0000
РУСЛАНА,Це - любов,949,xlxV4yadaZw,https://music.youtube.com/watch?v=xlxV4yadaZw,0,0.0000
Василь Жданкін,Чорна рілля,954,NY7Dj01LnuE,https://music.youtube.com/watch?v=NY7Dj01LnuE,0,0.0000
Adele,I Drink Wine,956,GDdoEZL3vJg,https://music.youtube.com/watch?v=GDdoEZL3vJg,0,0.0000
Urfaust,Unter Töchtern der Wüste,967,Pfa6anjthnY,https://music.youtube.com/watch?v=Pfa6anjthnY,0,0.0000
Pawl D Beats,Viking Music: Rurik,988,DyPJkqkdkY0,https://music.youtube.com/watch?v=DyPJkqkdkY0,0,0.0000
líue,Suffer With Me,998,OgmMJGEhwxw,https://music.youtube.com/watch?v=OgmMJGEhwxw,0,0.0000
Bjorth,Midgard Rising,1004,o_UHeqTe1nQ,https://music.youtube.com/watch?v=o_UHeqTe1nQ,0,0.0000
M8,AzovStahl,1017,NabkPanTpC0,https://music.youtube.com/watch?v=NabkPanTpC0,0,0.0000
Urfaust,Offerschaal Der Astrologische Mengvormen,1027,JfM7h9u1VP0,https://music.youtube.com/watch?v=JfM7h9u1VP0,0,0.0000
Urfaust,IX: Der Einsiedler,1028,kEXJeYispmQ,https://music.youtube.com/watch?v=kEXJeYispmQ,0,0.0000
Urfaust,Die kalte Teufelsfaust,1029,F_IN6anCEJk,https://music.youtube.com/watch?v=F_IN6anCEJk,0,0.0000
Mudvayne,Live Dosage 50,1045,qW4T5tEOq_E,https://music.youtube.com/watch?v=qW4T5tEOq_E,0,0.0000
Gnarls Barkley,Crazy - From the Basement,1053,WOjFhKg4h3s,https://music.youtube.com/watch?v=WOjFhKg4h3s,7,0.3967
Gary Moore,"Live Blues (1993) #8 ""Still Got The Blues",1057,0o7BwblazjQ,https://music.youtube.com/watch?v=0o7BwblazjQ,0,0.0000
The epic of Gilgamesh,Ancient Sumerian Song by Peter Pringle,1074,62pa9YAf6f8,https://music.youtube.com/watch?v=62pa9YAf6f8,0,0.0000
Wolves in the Throne Room,Thuja Magus Imperium,1086,8GDK0tcnlk0,https://music.youtube.com/watch?v=8GDK0tcnlk0,0,0.0000
Enigma,Why!...,1097,xpqFGZMBnlk,https://music.youtube.com/watch?v=xpqFGZMBnlk,0,0.0000
Elvis Presley,Can ́t Help Falling In Love,1113,OjiOTDqYYo0,https://music.youtube.com/watch?v=OjiOTDqYYo0,0,0.0000
Wardruna,Voluspá (Skaldic Version),1117,lt4Z1dvlERc,https://music.youtube.com/watch?v=lt4Z1dvlERc,0,0.0000
Aethyrien,"Varðlokkur, Caller of Spirits",1129,VM1YDxh2Hww,https://music.youtube.com/watch?v=VM1YDxh2Hww,0,0.0000
Kabarnos,Agni Parthene (Live Lebanon 2017),1137,Y56UcWkJ1Bk,https://music.youtube.com/watch?v=Y56UcWkJ1Bk,0,0.0000
Wardruna,Lyfjaberg,1138,e4iDsbd1fzc,https://music.youtube.com/watch?v=e4iDsbd1fzc,0,0.0000
Aethyrien,"Völuspá, Visions of the Prophecy",1139,Nt9gpQsKgEg,https://music.youtube.com/watch?v=Nt9gpQsKgEg,0,0.0000
Ruslana,Miy Brat!,1149,hRFCbEI9j3U,https://music.youtube.com/watch?v=hRFCbEI9j3U,0,0.0000
Ruslana,Rachmaninov (DJ Small’s Remake),1150,LfXsj2H8i9Y,https://music.youtube.com/watch?v=LfXsj2H8i9Y,0,0.0000
Lévon Minassian,Siretzi Yares Daran (They Have Taken the One I Love),1153,mLnOpbV4tPU,https://music.youtube.com/watch?v=mLnOpbV4tPU,0,0.0000
Agalloch,Limbs (2016 - Remaster),1156,fC0OFbhLeqk,https://music.youtube.com/watch?v=fC0OFbhLeqk,0,0.0000
niteboi,we should try,1160,dMhXymfudvA,https://music.youtube.com/watch?v=dMhXymfudvA,0,0.0000
PATRIARKH,IRMOS I,1161,-9DXT82_25k,https://music.youtube.com/watch?v=-9DXT82_25k,0,0.0000
Іво Бобул,Болить душа,1163,-WiBhW7re-Y,https://music.youtube.com/watch?v=-WiBhW7re-Y,0,0.0000
Alisa Sova,Чорнобривці,1166,5xMzABwELqA,https://music.youtube.com/watch?v=5xMzABwELqA,0,0.0000
Batzorig Vaanchig; Auli,Hunnu Guren,1179,X5oVGVbbwfI,https://music.youtube.com/watch?v=X5oVGVbbwfI,0,0.0000
Василь Жданкін,"Думи мої, думи мої",1196,RrCAHoI8N7c,https://music.youtube.com/watch?v=RrCAHoI8N7c,1,0.1297
ДахаБраха,Пливе човен,1199,asts8js-GNk,https://music.youtube.com/watch?v=asts8js-GNk,0,0.0000
DakhaBrakha,Nad Dunaem,1200,nqng93Gpw4A,https://music.youtube.com/watch?v=nqng93Gpw4A,0,0.0000
All Angels,Barber: Agnus Dei,1204,TwSC-nH_td8,https://music.youtube.com/watch?v=TwSC-nH_td8,0,0.0000
Aurora,Hans Zimmer,1205,1oTbyENpX58,https://music.youtube.com/watch?v=1oTbyENpX58,0,0.0000
Борис Гмиря,Ніч яка мiсячна,1215,En7TsomfE5A,https://music.youtube.com/watch?v=En7TsomfE5A,0,0.0000
Володимир Івасюк,Пісня буде поміж нас (Live),1216,RzZHYHO0Pjw,https://music.youtube.com/watch?v=RzZHYHO0Pjw,1,0.2417
Mario Lanza,Na sera 'e maggio (Remastered 1995),1219,b2dhl0xPFLU,https://music.youtube.com/watch?v=b2dhl0xPFLU,1,0.4089
Ghostface Playa; fkbambam,KILLKA,1224,oalkbgRJAW8,https://music.youtube.com/watch?v=oalkbgRJAW8,0,0.0000
Ariis,Chupki V Krusta Phonk,1230,UumS0KEZdH0,https://music.youtube.com/watch?v=UumS0KEZdH0,0,0.0000
Julio Iglesias,Nostalgie (Nathalie),1240,9jdzcUGJvpo,https://music.youtube.com/watch?v=9jdzcUGJvpo,0,0.0000
Sergio Velesky,MAIAJI MAIAJUUU,1248,1LGEOYF_b0Y,https://music.youtube.com/watch?v=1LGEOYF_b0Y,0,0.0000
Batushka,Yekteniya VII,1256,EYVDSxpbIWA,https://music.youtube.com/watch?v=EYVDSxpbIWA,0,0.0000
паліндром; Юрій Бондарчук,З букетом троянд,1257,8KIRX9K9vH0,https://music.youtube.com/watch?v=8KIRX9K9vH0,0,0.0000
Ilmari Hakkola,Bad Piggies Theme,1286,EgAOqt8I5ac,https://music.youtube.com/watch?v=EgAOqt8I5ac,0,0.0000
Patrick Carney,BoJack's Theme (Full Length) (feat. Ralph Carney),1288,UkhHY7U3LwU,https://music.youtube.com/watch?v=UkhHY7U3LwU,0,0.0000
Hans Zimmer,Tia Dalma,1293,Cc3qZ1HtwsM,https://music.youtube.com/watch?v=Cc3qZ1HtwsM,0,0.0000
Михаил Елизаров,ДЕТИ И ГАШИШ,1295,h0eEsdYOCRE,https://music.youtube.com/watch?v=h0eEsdYOCRE,0,0.0000
19 Most Romantic Waltzes,Chopin Complete Waltzes,1301,trDOwHzEqMY,https://music.youtube.com/watch?v=trDOwHzEqMY,0,0.0000
Воплі Відоплясова,Halya Is Carrying,1320,aDo38jxxBkw,https://music.youtube.com/watch?v=aDo38jxxBkw,0,0.0000
БумБокс,Вахтерам,1323,pqIbm7H6E1w,https://music.youtube.com/watch?v=pqIbm7H6E1w,0,0.0000
Океан Ельзи,"Там, де нас нема",1325,kTiiUw2HjjM,https://music.youtube.com/watch?v=kTiiUw2HjjM,1,0.4034
Воплі Відоплясова,Весна,1327,aLq0gHTvt8w,https://music.youtube.com/watch?v=aLq0gHTvt8w,0,0.0000
Михаил Елизаров,СТОМАТОЛОГ,1329,52VL7jBq1pc,https://music.youtube.com/watch?v=52VL7jBq1pc,0,0.0000
Егор Летов,Всё как у людей,1333,XAJ47jr3h0U,https://music.youtube.com/watch?v=XAJ47jr3h0U,1,0.2213
Егор Летов,Колыбельная,1334,GY8hbWW8Cfg,https://music.youtube.com/watch?v=GY8hbWW8Cfg,0,0.0000
Егор Летов,Иуда будет в раю,1335,UdgAHSGvIAg,https://music.youtube.com/watch?v=UdgAHSGvIAg,1,0.3460
Егор Летов,Как листовка,1336,T0dUUXaM0Xk,https://music.youtube.com/watch?v=T0dUUXaM0Xk,0,0.0000
