normalized_artists,normalized_title,source_position,video_id,video_url,original_artists,original_title,album,duration_seconds,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness,match_score,match_status
Urfaust,"Dämmert, gelähmt und mit scheinbar erloschenem Geist",351,U61inkmPMzw,https://music.youtube.com/watch?v=U61inkmPMzw,Urfaust,"Dämmert, gelähmt und mit scheinbar erloschenem Geist",Ritual Music for the True Clochard,262,qxppkk,"Dämmert, Gelähmt und mit Scheinbar erloschenem Geist",Urfaust,https://getsongbpm.com/song/daemmert-gelaehmt-und-mit-scheinbar-erloschenem-geist/qxppkk,93,3/4,C,major,1d,12,1,0.9257,matched
Radiohead,How to Disappear Completely,352,6W6HhdqA95w,https://music.youtube.com/watch?v=6W6HhdqA95w,Radiohead,How to Disappear Completely,Kid A,357,nrmE,How to Disappear Completely,Radiohead,https://getsongbpm.com/song/how-to-disappear-completely/nrmE,102,4/4,F♯m,minor,4m,17,32,1.0000,matched
Radiohead,All I Need,354,FM7ALFsOH4g,https://music.youtube.com/watch?v=FM7ALFsOH4g,Radiohead,All I Need,In Rainbows,229,KrNyR8,All I Need,Radiohead,https://getsongbpm.com/song/all-i-need/KrNyR8,178,4/4,Em,minor,2m,67,52,1.0000,matched
Radiohead,High and Dry,355,7fv84nPfTH0,https://music.youtube.com/watch?v=7fv84nPfTH0,Radiohead,High and Dry,The Bends,258,qxygR,High and Dry,Radiohead,https://getsongbpm.com/song/high-and-dry/qxygR,86,4/4,E,major,5d,42,8,1.0000,matched
Lana Del Rey,Brooklyn Baby,356,ubuN28MsRrg,https://music.youtube.com/watch?v=ubuN28MsRrg,Lana Del Rey,Brooklyn Baby,Ultraviolence,352,2xXzrP,Brooklyn Baby,Lana Del Rey,https://getsongbpm.com/song/brooklyn-baby/2xXzrP,107,4/4,C♯,major,8d,41,55,1.0000,matched
Lana Del Rey,Shades Of Cool,357,igC9mcrZlHo,https://music.youtube.com/watch?v=igC9mcrZlHo,Lana Del Rey,Shades Of Cool,Ultraviolence,343,1WMxqo,Shades of Cool,Lana Del Rey,https://getsongbpm.com/song/shades-of-cool/1WMxqo,137,3/4,Dm,minor,12m,27,56,1.0000,matched
Perry Como,Killing Me Softly With Her Song,360,-spotq2kYd4,https://music.youtube.com/watch?v=-spotq2kYd4,Perry Como,Killing Me Softly With Her Song,And I Love You So,271,OYBzVE,Killing Me Softly With Her Song,Perry Como,https://getsongbpm.com/song/killing-me-softly-with-her-song/OYBzVE,103,4/4,G♯m,minor,6m,56,49,1.0000,matched
Nat King Cole,When I Fall In Love,361,jnRzMETUUAI,https://music.youtube.com/watch?v=jnRzMETUUAI,Nat King Cole,When I Fall In Love,Love Is The Thing,191,9QAlN8,When I Fall in Love,Nat King Cole,https://getsongbpm.com/song/when-i-fall-in-love/9QAlN8,81,4/4,C♯,major,8d,17,80,1.0000,matched
Gutalax,Polykání semena z postaršího jelena,370,e1wFWufGKsE,https://music.youtube.com/watch?v=e1wFWufGKsE,Gutalax,Polykání semena z postaršího jelena,Shit Beast,129,OyMvAp,Polykani Semena Z Postarsiho Jelena (Swallowing the Seeds of an Elperly Deer),Gutalax,https://getsongbpm.com/song/polykani-semena-z-postarsiho-jelena-swallowing-the-seeds-of-an-elperly-deer/OyMvAp,154,4/4,Am,minor,1m,40,1,0.9304,matched
Cannibal Corpse,Skewered From Ear To Eye,371,H8VZO7iSBFg,https://music.youtube.com/watch?v=H8VZO7iSBFg,Cannibal Corpse,Skewered From Ear To Eye,Evisceration Plague,229,3l190M,Skewered From Ear to Eye,Cannibal Corpse,https://getsongbpm.com/song/skewered-from-ear-to-eye/3l190M,100,4/4,A♯m,minor,8m,56,1,1.0000,matched
Gutalax,Robocock,374,c4vqvpBiRZA,https://music.youtube.com/watch?v=c4vqvpBiRZA,Gutalax,Robocock,Shit Beast,107,D91Omx,Robocock,Gutalax,https://getsongbpm.com/song/robocock/D91Omx,172,4/4,Em,minor,2m,18,1,1.0000,matched
Matt Monro,The Music Played,380,LsVq_YEsHRY,https://music.youtube.com/watch?v=LsVq_YEsHRY,Matt Monro,The Music Played,Matt Monro - The Best,193,lYwDEJ,Alguien canto (The Music Played),Matt Monro,https://getsongbpm.com/song/alguien-canto-the-music-played/lYwDEJ,81,4/4,F♯m,minor,4m,40,71,0.8824,matched
Cult Of Luna,Dark Side Of The Sun,384,xu7MkvDjWhY,https://music.youtube.com/watch?v=xu7MkvDjWhY,Cult Of Luna,Dark Side Of The Sun,Cult Of Luna,194,WRyZg,Dark Side of the Sun,Cult of Luna,https://getsongbpm.com/song/dark-side-of-the-sun/WRyZg,95,3/4,Cm,minor,10m,15,1,1.0000,matched
Perry Como,And I Love You So,388,Xb6Yw2YqqbY,https://music.youtube.com/watch?v=Xb6Yw2YqqbY,Perry Como,And I Love You So,Slows (Les grands succès),203,NkAyQ8,And I Love You So,Perry Como,https://getsongbpm.com/song/and-i-love-you-so/NkAyQ8,90,4/4,G♯,major,9d,42,88,0.9400,matched
Barry Manilow,Can't Smile Without You,396,l_FNkf-bHnA,https://music.youtube.com/watch?v=l_FNkf-bHnA,Barry Manilow,Can't Smile Without You,Even Now,194,OYmNnG,Can't Smile Without You,Barry Manilow,https://getsongbpm.com/song/can-t-smile-without-you/OYmNnG,97,4/4,G,major,2d,42,50,1.0000,matched
Schammasch,The Empyrean,401,y_-o-HYTxpI,https://music.youtube.com/watch?v=y_-o-HYTxpI,Schammasch,The Empyrean,Triangle,506,pZ1ElV,The Empyrean,Schammasch,https://getsongbpm.com/song/the-empyrean/pZ1ElV,124,4/4,B,major,6d,20,1,1.0000,matched
Urfaust,False Sensorial Impressions,402,x9kn39HdnWM,https://music.youtube.com/watch?v=x9kn39HdnWM,Urfaust,False Sensorial Impressions,The Constellatory Practice,362,PrkKpn,False Sensorial Impressions,Urfaust,https://getsongbpm.com/song/false-sensorial-impressions/PrkKpn,,,m,minor,,,,1.0000,matched
